Run_ID,Map,Num Robots,Num Tasks,Suitability Method,RobotProfiles,TaskProfiles
1471,den404d.map,5,5,evaluate_suitability_new,"[""excavator"", ""scaffolding"", ""assembly"", ""delivery"", ""delivery""]","[""utilities"", ""delivery"", ""scaffold"", ""scaffold"", ""debris""]"
1472,den404d.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""crane"", ""scaffolding"", ""bricklayer"", ""assembly""]","[""debris"", ""utilities"", ""utilities"", ""utilities"", ""delivery""]"
1473,den404d.map,5,5,evaluate_suitability_new,"[""excavator"", ""scaffolding"", ""assembly"", ""excavator"", ""delivery""]","[""debris"", ""assembly"", ""assembly"", ""utilities"", ""assembly""]"
1474,den404d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""bricklayer"", ""assembly"", ""delivery"", ""delivery""]","[""item elevation"", ""utilities"", ""delivery"", ""debris"", ""excavate""]"
1475,den404d.map,5,5,evaluate_suitability_new,"[""delivery"", ""scaffolding"", ""delivery"", ""crane"", ""scaffolding""]","[""scaffold"", ""item elevation"", ""assembly"", ""utilities"", ""lay bricks""]"
1476,den404d.map,5,5,evaluate_suitability_loose,"[""crane"", ""assembly"", ""bricklayer"", ""bricklayer"", ""delivery""]","[""utilities"", ""debris"", ""utilities"", ""delivery"", ""assembly""]"
1477,den404d.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""scaffolding"", ""assembly"", ""crane"", ""delivery""]","[""debris"", ""utilities"", ""debris"", ""excavate"", ""assembly""]"
1478,den404d.map,5,5,evaluate_suitability_loose,"[""crane"", ""bricklayer"", ""assembly"", ""bricklayer"", ""assembly""]","[""lay bricks"", ""scaffold"", ""lay bricks"", ""scaffold"", ""lay bricks""]"
1479,den404d.map,5,5,evaluate_suitability_loose,"[""assembly"", ""assembly"", ""crane"", ""bricklayer"", ""bricklayer""]","[""excavate"", ""scaffold"", ""debris"", ""delivery"", ""lay bricks""]"
1480,den404d.map,5,5,evaluate_suitability_loose,"[""excavator"", ""bricklayer"", ""excavator"", ""delivery"", ""crane""]","[""debris"", ""scaffold"", ""utilities"", ""scaffold"", ""assembly""]"
1481,den404d.map,5,5,evaluate_suitability_strict,"[""assembly"", ""scaffolding"", ""assembly"", ""delivery"", ""scaffolding""]","[""scaffold"", ""lay bricks"", ""utilities"", ""excavate"", ""assembly""]"
1482,den404d.map,5,5,evaluate_suitability_strict,"[""assembly"", ""crane"", ""excavator"", ""crane"", ""excavator""]","[""assembly"", ""debris"", ""scaffold"", ""assembly"", ""item elevation""]"
1483,den404d.map,5,5,evaluate_suitability_strict,"[""bricklayer"", ""assembly"", ""scaffolding"", ""scaffolding"", ""scaffolding""]","[""excavate"", ""utilities"", ""scaffold"", ""lay bricks"", ""utilities""]"
1484,den404d.map,5,5,evaluate_suitability_strict,"[""scaffolding"", ""bricklayer"", ""assembly"", ""assembly"", ""assembly""]","[""scaffold"", ""utilities"", ""assembly"", ""excavate"", ""scaffold""]"
1485,den404d.map,5,5,evaluate_suitability_strict,"[""scaffolding"", ""excavator"", ""delivery"", ""excavator"", ""bricklayer""]","[""scaffold"", ""utilities"", ""lay bricks"", ""excavate"", ""excavate""]"
1486,den404d.map,5,5,evaluate_suitability_new,"[""assembly"", ""delivery"", ""crane"", ""delivery"", ""scaffolding""]","[""delivery"", ""assembly"", ""scaffold"", ""lay bricks"", ""scaffold""]"
1487,den404d.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""crane"", ""scaffolding"", ""bricklayer"", ""scaffolding""]","[""excavate"", ""delivery"", ""delivery"", ""scaffold"", ""utilities""]"
