Run_ID,Map,Num Robots,Num Tasks,Suitability Method,RobotProfiles,TaskProfiles
5881,isound1.map,5,5,evaluate_suitability_new,"[""crane"", ""assembly"", ""excavator"", ""scaffolding"", ""delivery""]","[""scaffold"", ""debris"", ""assembly"", ""delivery"", ""scaffold""]"
5882,isound1.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""delivery"", ""crane"", ""assembly"", ""crane""]","[""delivery"", ""excavate"", ""debris"", ""scaffold"", ""item elevation""]"
5883,isound1.map,5,5,evaluate_suitability_new,"[""excavator"", ""bricklayer"", ""excavator"", ""assembly"", ""excavator""]","[""lay bricks"", ""scaffold"", ""utilities"", ""scaffold"", ""assembly""]"
5884,isound1.map,5,5,evaluate_suitability_new,"[""assembly"", ""scaffolding"", ""scaffolding"", ""assembly"", ""scaffolding""]","[""debris"", ""delivery"", ""excavate"", ""debris"", ""delivery""]"
5885,isound1.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""delivery"", ""excavator"", ""scaffolding"", ""bricklayer""]","[""scaffold"", ""lay bricks"", ""scaffold"", ""item elevation"", ""debris""]"
5886,isound1.map,5,5,evaluate_suitability_loose,"[""delivery"", ""delivery"", ""delivery"", ""scaffolding"", ""delivery""]","[""utilities"", ""utilities"", ""item elevation"", ""excavate"", ""excavate""]"
5887,isound1.map,5,5,evaluate_suitability_loose,"[""delivery"", ""bricklayer"", ""excavator"", ""delivery"", ""delivery""]","[""scaffold"", ""utilities"", ""delivery"", ""lay bricks"", ""utilities""]"
5888,isound1.map,5,5,evaluate_suitability_loose,"[""crane"", ""assembly"", ""delivery"", ""scaffolding"", ""assembly""]","[""scaffold"", ""utilities"", ""delivery"", ""delivery"", ""excavate""]"
5889,isound1.map,5,5,evaluate_suitability_loose,"[""delivery"", ""delivery"", ""scaffolding"", ""assembly"", ""bricklayer""]","[""scaffold"", ""utilities"", ""excavate"", ""scaffold"", ""assembly""]"
5890,isound1.map,5,5,evaluate_suitability_loose,"[""delivery"", ""excavator"", ""bricklayer"", ""excavator"", ""assembly""]","[""excavate"", ""scaffold"", ""item elevation"", ""item elevation"", ""delivery""]"
5891,isound1.map,5,5,evaluate_suitability_strict,"[""assembly"", ""delivery"", ""delivery"", ""delivery"", ""bricklayer""]","[""assembly"", ""delivery"", ""delivery"", ""assembly"", ""scaffold""]"
5892,isound1.map,5,5,evaluate_suitability_strict,"[""assembly"", ""assembly"", ""delivery"", ""crane"", ""crane""]","[""lay bricks"", ""item elevation"", ""lay bricks"", ""excavate"", ""assembly""]"
5893,isound1.map,5,5,evaluate_suitability_strict,"[""crane"", ""scaffolding"", ""bricklayer"", ""scaffolding"", ""bricklayer""]","[""item elevation"", ""item elevation"", ""debris"", ""delivery"", ""scaffold""]"
5894,isound1.map,5,5,evaluate_suitability_strict,"[""scaffolding"", ""assembly"", ""crane"", ""bricklayer"", ""excavator""]","[""item elevation"", ""debris"", ""debris"", ""item elevation"", ""scaffold""]"
5895,isound1.map,5,5,evaluate_suitability_strict,"[""scaffolding"", ""scaffolding"", ""delivery"", ""assembly"", ""bricklayer""]","[""utilities"", ""assembly"", ""delivery"", ""scaffold"", ""debris""]"
5896,isound1.map,5,5,evaluate_suitability_new,"[""excavator"", ""bricklayer"", ""scaffolding"", ""delivery"", ""delivery""]","[""assembly"", ""item elevation"", ""item elevation"", ""utilities"", ""excavate""]"
5897,isound1.map,5,5,evaluate_suitability_new,"[""crane"", ""bricklayer"", ""bricklayer"", ""crane"", ""excavator""]","[""assembly"", ""assembly"", ""utilities"", ""assembly"", ""lay bricks""]"
5898,isound1.map,5,5,evaluate_suitability_new,"[""crane"", ""assembly"", ""scaffolding"", ""excavator"", ""scaffolding""]","[""utilities"", ""excavate"", ""delivery"", ""utilities"", ""assembly""]"
