Run_ID,Map,Num Robots,Num Tasks,Suitability Method,RobotProfiles,TaskProfiles
4801,arena.map,5,5,evaluate_suitability_new,"[""assembly"", ""delivery"", ""excavator"", ""crane"", ""excavator""]","[""excavate"", ""excavate"", ""debris"", ""scaffold"", ""delivery""]"
4802,arena.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""bricklayer"", ""delivery"", ""delivery"", ""scaffolding""]","[""utilities"", ""lay bricks"", ""lay bricks"", ""delivery"", ""utilities""]"
4803,arena.map,5,5,evaluate_suitability_new,"[""crane"", ""assembly"", ""assembly"", ""crane"", ""excavator""]","[""excavate"", ""utilities"", ""debris"", ""delivery"", ""scaffold""]"
4804,arena.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""crane"", ""delivery"", ""bricklayer"", ""scaffolding""]","[""utilities"", ""item elevation"", ""lay bricks"", ""excavate"", ""scaffold""]"
4805,arena.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""scaffolding"", ""delivery"", ""crane"", ""bricklayer""]","[""assembly"", ""assembly"", ""excavate"", ""assembly"", ""scaffold""]"
4806,arena.map,5,5,evaluate_suitability_new,"[""assembly"", ""crane"", ""excavator"", ""assembly"", ""assembly""]","[""assembly"", ""lay bricks"", ""assembly"", ""utilities"", ""excavate""]"
4807,arena.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""scaffolding"", ""scaffolding"", ""delivery"", ""delivery""]","[""scaffold"", ""debris"", ""assembly"", ""assembly"", ""scaffold""]"
4808,arena.map,5,5,evaluate_suitability_new,"[""assembly"", ""assembly"", ""scaffolding"", ""delivery"", ""assembly""]","[""debris"", ""delivery"", ""excavate"", ""scaffold"", ""lay bricks""]"
4809,arena.map,5,5,evaluate_suitability_new,"[""excavator"", ""delivery"", ""delivery"", ""crane"", ""delivery""]","[""delivery"", ""excavate"", ""excavate"", ""excavate"", ""assembly""]"
4810,arena.map,5,5,evaluate_suitability_new,"[""excavator"", ""excavator"", ""crane"", ""assembly"", ""crane""]","[""delivery"", ""assembly"", ""lay bricks"", ""assembly"", ""debris""]"
4811,arena.map,5,5,evaluate_suitability_new,"[""excavator"", ""crane"", ""scaffolding"", ""delivery"", ""excavator""]","[""delivery"", ""scaffold"", ""debris"", ""assembly"", ""assembly""]"
4812,arena.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""bricklayer"", ""crane"", ""assembly"", ""delivery""]","[""scaffold"", ""excavate"", ""item elevation"", ""debris"", ""delivery""]"
4813,arena.map,5,5,evaluate_suitability_new,"[""assembly"", ""crane"", ""bricklayer"", ""bricklayer"", ""crane""]","[""assembly"", ""assembly"", ""lay bricks"", ""scaffold"", ""item elevation""]"
4814,arena.map,5,5,evaluate_suitability_new,"[""crane"", ""crane"", ""excavator"", ""bricklayer"", ""assembly""]","[""assembly"", ""delivery"", ""excavate"", ""delivery"", ""debris""]"
4815,arena.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""crane"", ""crane"", ""crane"", ""delivery""]","[""debris"", ""debris"", ""lay bricks"", ""lay bricks"", ""delivery""]"
4816,arena.map,5,5,evaluate_suitability_new,"[""crane"", ""crane"", ""bricklayer"", ""bricklayer"", ""excavator""]","[""debris"", ""scaffold"", ""debris"", ""excavate"", ""utilities""]"
4817,arena.map,5,5,evaluate_suitability_new,"[""scaffolding"", ""crane"", ""assembly"", ""crane"", ""bricklayer""]","[""item elevation"", ""lay bricks"", ""scaffold"", ""assembly"", ""excavate""]"
4818,arena.map,5,5,evaluate_suitability_new,"[""bricklayer"", ""crane"", ""excavator"", ""crane"", ""assembly""]","[""excavate"", ""delivery"", ""assembly"", ""assembly"", ""lay bricks""]"
4819,arena.map,5,5,evaluate_suitability_new,"[""crane"", ""crane"", ""bricklayer"", ""delivery"", ""scaffolding""]","[""assembly"", ""excavate"", ""lay bricks"", ""assembly"", ""scaffold""]"
4820,arena.map,5,5,evaluate_suitability_new,"[""crane"", ""scaffolding"", ""bricklayer"", ""assembly"", ""scaffolding""]","[""excavate"", ""scaffold"", ""excavate"", ""delivery"", ""delivery""]"
4821,arena.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""scaffolding"", ""bricklayer"", ""delivery"", ""bricklayer""]","[""debris"", ""excavate"", ""utilities"", ""debris"", ""item elevation""]"
4822,arena.map,5,5,evaluate_suitability_loose,"[""bricklayer"", ""bricklayer"", ""scaffolding"", ""bricklayer"", ""bricklayer""]","[""excavate"", ""item elevation"", ""delivery"", ""scaffold"", ""utilities""]"
4823,arena.map,5,5,evaluate_suitability_loose,"[""excavator"", ""excavator"", ""bricklayer"", ""bricklayer"", ""crane""]","[""scaffold"", ""item elevation"", ""lay bricks"", ""assembly"", ""excavate""]"
4824,arena.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""bricklayer"", ""bricklayer"", ""assembly"", ""scaffolding""]","[""utilities"", ""scaffold"", ""scaffold"", ""assembly"", ""debris""]"
4825,arena.map,5,5,evaluate_suitability_loose,"[""crane"", ""crane"", ""delivery"", ""crane"", ""excavator""]","[""delivery"", ""utilities"", ""lay bricks"", ""debris"", ""delivery""]"
4826,arena.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""delivery"", ""excavator"", ""assembly"", ""delivery""]","[""excavate"", ""excavate"", ""delivery"", ""assembly"", ""item elevation""]"
4827,arena.map,5,5,evaluate_suitability_loose,"[""delivery"", ""excavator"", ""crane"", ""scaffolding"", ""assembly""]","[""assembly"", ""item elevation"", ""debris"", ""delivery"", ""scaffold""]"
4828,arena.map,5,5,evaluate_suitability_loose,"[""scaffolding"", ""scaffolding"", ""scaffolding"", ""assembly"", ""crane""]","[""item elevation"", ""lay bricks"", ""excavate"", ""assembly"", ""assembly""]"
4829,arena.map,5,5,evaluate_suitability_loose,"[""assembly"", ""scaffolding"", ""delivery"", ""assembly"", ""crane""]","[""item elevation"", ""debris"", ""excavate"", ""delivery"", ""assembly""]"
4830,arena.map,5,5,evaluate_suitability_loose,"[""crane"", ""crane"", ""bricklayer"", ""bricklayer"", ""assembly""]","[""assembly"", ""debris"", ""lay bricks"", ""debris"", ""debris""]"
